,Site ID,Local ID,Reg. ID,DTW (ft),WL Elev (ft amsl),WL Date,Data Type,Well Depth (ft),Case Dia (in),Water Use,Drill Date,latitude,longitude
FALSE,3.22344E+14,D-12-24 18ABC,,86.38,4176.62,10/29/1952,STANDARD,180,16,IRRIGATION,8/17/1951,32.396111,109.935
FALSE,3.22345E+14,D-12-24 17BBD,,,,,STANDARD,150,16,UNDETERMINED,3/12/1949,32.395833,109.923333
FALSE,3.22348E+14,D-12-24 18ABB,,118.48,4146.52,8/1/1956,STANDARD,170,16,IRRIGATION,3/1/1948,32.396667,109.934444
FALSE,3.22349E+14,D-12-23 15ABB,,122.3,4162.7,2/18/1969,STANDARD,,16,UNUSED,,32.396944,109.985
FALSE,3.22352E+14,D-12-24 17ABB,805862,154.2,4107.8,1/16/1990,STANDARD,270,18,UNUSED,5/1/1951,32.398333,109.916944
FALSE,3.22354E+14,D-12-23 13ABB,606303,,,,STANDARD,700,16,UNUSED,1/1/1975,32.398333,109.951667
FALSE,3.22408E+14,D-12-24 10CBC,605438,112,4195,12/22/1957,STANDARD,250,8,STOCK,12/22/1957,32.402222,109.891667
FALSE,3.22418E+14,D-12-23 12DBA2,,201.9,4073,12/1/1999,STANDARD,,,UNUSED,,32.405,109.949167
FALSE,3.2244E+14,D-12-23 12AB,,,,,STANDARD,800,,UNDETERMINED,4/13/1960,32.411111,109.949444
FALSE,3.22444E+14,D-12-23 12BBA,,85,4195,2/3/1958,STANDARD,1001,,UNDETERMINED,2/3/1958,32.412222,109.956389
FALSE,3.22445E+14,D-12-23 09ABB,611044,136,4194,3/20/1966,STANDARD,603,16,UNUSED,3/20/1966,32.412583,110.002944
FALSE,3.22503E+14,D-12-24 02DAD,615857,375.9,4069.1,12/6/2005,STANDARD,420,8.62,STOCK,4/27/1973,32.417861,109.859611
FALSE,3.22511E+14,D-12-24 04BDA,621290,340.4,3996.6,1/14/2021,STANDARD,890,16,IRRIGATION,3/1/1974,32.422084,109.900802
FALSE,3.22531E+14,D-12-23 01AAD,224918,265.3,4019.7,1/13/2021,STANDARD,550,8.63,DOMESTIC,6/27/2015,32.425167,109.943972
FALSE,3.22531E+14,D-12-23 02BBB,609032,136.89,4213.11,2/11/1965,STANDARD,336,16,IRRIGATION,8/11/1954,32.425278,109.976667
FALSE,3.2254E+14,D-11-23 35CCC1,,89.67,4215.33,3/24/1949,STANDARD,,,UNUSED,,32.427778,109.976667
FALSE,3.22542E+14,D-11-24 31DCC,,86.77,4208.23,1/16/1952,STANDARD,87,6,STOCK,,32.428333,109.933889
FALSE,3.22601E+14,D-11-23 36CBB,615806,212.6,4082,11/30/1999,STANDARD,767,16,IRRIGATION,5/14/1965,32.434444,109.960278
FALSE,3.22601E+14,D-11-23 35CBB,,85,4220,9/20/1959,STANDARD,285,16,UNUSED,9/20/1959,32.434471,109.976943
FALSE,3.2262E+14,D-11-23 35BAC,609717,192.8,4109.2,1/17/1990,STANDARD,,,IRRIGATION,,32.438889,109.972222
FALSE,3.22717E+14,D-11-25 28ABB,615811,123,4792,1/23/1990,STANDARD,150,6,STOCK,,32.455,109.797778
FALSE,3.22718E+14,D-11-23 25BAA,,157.75,4176.25,2/12/1965,STANDARD,,,UNUSED,,32.456111,109.9525
FALSE,3.22719E+14,D-11-23 26AAB,,104.12,4220.88,3/5/1956,STANDARD,,4,STOCK,3/1/1956,32.456083,109.965
FALSE,3.22719E+14,D-11-23 26ABB,623693,273.5,4049.5,12/15/2014,STANDARD,550,16,IRRIGATION,11/1/1963,32.456194,109.96875
FALSE,3.22813E+14,D-11-24 20ABB,622957,393.6,4035.4,12/16/2014,STANDARD,700,,IRRIGATION,,32.470694,109.918583
FALSE,3.22815E+14,D-11-23 23AAA,611276,,,,STANDARD,,,IRRIGATION,,32.470833,109.960833
FALSE,3.22838E+14,D-11-24 17DAB,,,,,STANDARD,700,,IRRIGATION,2/1/1965,32.477222,109.913056
FALSE,3.22904E+14,D-11-23 15AAA,603712,331.2,4041.8,1/13/2021,STANDARD,500,16,IRRIGATION,10/26/1964,32.485279,109.979141
FALSE,3.22931E+14,D-11-24 07CAA,605413,396.2,4046.8,12/16/2014,STANDARD,606,16,IRRIGATION,2/11/1965,32.4925,109.935778
FALSE,3.22931E+14,D-11-23 10DAA,613593,326.4,4060.6,12/11/2014,STANDARD,505,16,IRRIGATION,1/1/1964,32.492444,109.978306
FALSE,3.22933E+14,D-11-24 07DBA,,,,,STANDARD,,,IRRIGATION,,32.4925,109.932778
FALSE,3.22943E+14,D-11-24 08BDA,621564,287.24,4204.76,2/12/1965,STANDARD,1020,14,IRRIGATION,,32.495278,109.919722
FALSE,3.2295E+14,D-11-23 07AAC,628355,279.6,4093.4,12/2/2014,STANDARD,501,16,UNUSED,2/18/1969,32.497833,110.033139
FALSE,3.22956E+14,D-11-23 08AAB,,292.1,4090.9,12/2/2014,STANDARD,425,16,IRRIGATION,3/26/1960,32.4995,110.018667
FALSE,3.23034E+14,D-11-23 03BAC,,327.7,4076.3,12/17/2014,STANDARD,,,IRRIGATION,,32.510556,109.990833
FALSE,3.23036E+14,D-11-21 03BCB2,,,,,STANDARD,,,DOMESTIC,,32.51,110.199722
FALSE,3.23052E+14,D-10-22 34DDD,,295,4157,2/1/1975,STANDARD,0,,UNDETERMINED,,32.514444,110.076111
FALSE,3.23055E+14,D-10-22 36CCB,628335,336.2,4082.8,2/24/2021,STANDARD,480,16,IRRIGATION,12/16/1966,32.5165,110.058528
FALSE,3.23116E+14,D-10-23 33DBA,,340.5,4080.5,12/22/2014,STANDARD,,,IRRIGATION,,32.521583,109.995109
FALSE,3.23122E+14,D-10-24 34ADC,615745,174.8,4655.2,1/6/2015,STANDARD,,8.5,UNUSED,,32.522778,109.873333
FALSE,3.23134E+14,D-10-23 31BBC,628368,,,,STANDARD,270,6.62,STOCK,,32.525833,110.04
FALSE,3.23137E+14,D-10-24 35ABB,601473,40.3,4923.7,1/6/2015,STANDARD,70,6,UNUSED,,32.526944,109.859722
FALSE,3.23139E+14,D-10-23 33BAA,622075,344.9,4083.1,12/23/2014,STANDARD,500,16,DOMESTIC,3/3/1966,32.528751,109.998641
