,Site ID,Local ID,Reg. ID,DTW (ft),WL Elev (ft amsl),WL Date,Data Type,Well Depth (ft),Case Dia (in),Water Use,Drill Date,latitude,longitude
FALSE,3.51717E+14,B-22-15 13CBC,908049,,,,STANDARD,830,7,UNUSED,10/31/2007,35.288083,113.833722
FALSE,3.51808E+14,B-22-17 11CDC,918851,,,,STANDARD,565,7,DOMESTIC,11/12/2015,35.302111,114.069222
FALSE,3.52717E+14,B-24-16E19AAC,503136,,,,STANDARD,600,6.25,UNUSED,6/11/1983,35.455028,114.014
FALSE,3.52819E+14,B-24-16 09CDD,222891,473,2477,3/28/2023,STANDARD,725,16,IRRIGATION,6/14/2013,35.471861,113.984417
FALSE,3.53642E+14,B-26-18 29BDC,586576,,,,STANDARD,200,7,DOMESTIC,6/9/2001,35.611639,114.232139
FALSE,3.53709E+14,B-26-17 23CDD,86253,268.7,2489.3,3/30/2023,STANDARD,750,14,UNUSED,2/2/1981,35.619056,114.069611
FALSE,3.53801E+14,B-26-17 15CCC,223497,,,,STANDARD,750,16,IRRIGATION,6/25/2014,35.633528,114.095556
FALSE,3.5215E+14,B-23-14 23BCC,551465,70,3870,8/31/1995,STANDARD,230,4.5,STOCK,8/31/1995,35.363889,113.744028
FALSE,3.52216E+14,B-23-14 13CCC2,,50.45,3515.55,11/23/1943,STANDARD,75,72,UNUSED,,35.371112,113.726165
FALSE,3.52429E+14,B-23-14 01ADA,,,,,STANDARD,,,UNUSED,,35.408056,113.716944
FALSE,3.51424E+14,B-22-16 35CCC,905228,720.7,2718.3,2/14/2018,STANDARD,,,PUBLIC SUPPLY,,35.239889,113.957194
FALSE,3.51759E+14,B-22-15 12DDC,,68.3,3951.7,2/29/1980,STANDARD,,8,UNUSED,,35.298056,113.818889
FALSE,3.51837E+14,B-22-17 09ADD1,,15,4185,12/30/1964,STANDARD,289,,STOCK,,35.310278,114.091111
FALSE,3.51957E+14,B-23-14 31DAA,912692,,,,STANDARD,230,7,UNUSED,11/12/2010,35.332528,113.800333
